종목명,상장유형,공모가(원),상장일,상장주식수,매출총이익률,영업이익률,ROE(지배),매출액증가율(YoY),영업이익증가율(YoY),유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액,세전계속사업이익,당기순이익(지배),자본총계(지배),EBITDA2,순부채,매출액증가율(YoY)-before,영업이익증가율(YoY)-before
금강제강,신규상장,15000,2010-02-02,5600000,18.68,14.82,69.6,88.42,601.39,112.55,91.23,134.22,18.24,5.77,24.44,114875860,17911968,13788248,28610538,20128459,11431681,156.4,368.34
모베이스,신규상장,13200,2010-02-04,6000000,16.89,9.15,28.33,82.81,171.35,141.51,123.63,91.55,21.44,26.13,31.83,103341655,9945741,7703530,31981676,13380838,347386,26.11,-27.83
지스마트글로벌,신규상장,17500,2010-02-04,4697433,29.01,15.82,98.41,474.7,442.44,180.74,108.2,94.32,17.22,9.13,9.32,70311344,10051783,10657144,15486562,11577510,4385392,,
차이나하오란,신규상장,4700,2010-02-05,40000000,16.51,11.77,,,,117.13,94.36,336.74,2.67,,,132160501,11534212,10230483,19174750,17395122,11199919,,
하이소닉,신규상장,13000,2010-02-09,4762169,18.15,10.18,46.56,80.31,72.46,125.79,96.78,110.09,9.31,15.57,19.69,36070123,2746112,2746112,8779409,4879519,-467138,59.36,219.27
인포바인,신규상장,33000,2010-02-09,2970000,100,52.16,57.19,58.82,102.6,325.79,325.79,35.09,1835.95,8.31,,8251043,4557001,3512667,7951985,4749836,-6154781,96.92,3685.87
이미지스,신규상장,6000,2010-02-26,4913521,47.52,22.68,48.18,269.05,506.96,727.23,595.26,15.53,,8.51,14.86,13763681,3105239,3000910,7797456,3608087,-3091852,,
삼기,신규상장,6000,2010-03-19,3859000,12.91,7.08,,,,38.36,17.48,331.99,1.46,,,23684250,264207,264207,13152305,2728995,29635287,,
지트리비앤티,신규상장,11000,2010-03-26,4182000,34.32,16.05,16.87,2.17,-46.04,1219.27,1219.27,28.44,245.96,3.95,,9068571,1680244,1938257,12462918,1608612,-386351,9.02,-15.19
씨케이에이치,신규상장,3700,2010-03-31,80000000,69.54,47.59,92.92,131,149.33,125.37,102.02,49.76,,5.26,18.29,95445344,45442796,33366616,54852572,46623812,-5719148,238.57,342.85
케이씨에스,신규상장,1600,2010-04-14,12000000,18.02,4.58,19.56,-38.93,-72.93,228.53,224.37,66.41,,4.21,133.01,23349604,1972495,2119444,11370297,1267112,-8398073,6.06,-5.7
애머릿지,신규상장,7500,2010-04-21,7000000,20.57,7.05,54.3,-18.25,178.44,98.7,59.39,128.23,5.89,4.77,6.29,46303263,4949138,4771394,11291663,3681540,10501428,,
이스트아시아홀딩스,신규상장,5000,2010-04-23,23000000,26.87,20.03,,,,200.23,163.37,63.38,34.29,,,119546619,22666454,19372267,36134297,25158910,-12419721,,
모바일리더,신규상장,15000,2010-05-25,2998000,42.31,30.53,29.74,16.81,44.26,1301.59,1301.59,10.94,1944.03,6.25,,9960686,3872591,3446167,13309769,3246536,-6626913,32.66,36.63
서진오토모티브,신규상장,5000,2010-05-25,8250000,18.31,9.3,5.66,11.34,49.93,71.41,48.24,138.78,3.47,6.21,7.8,90154584,2642566,2502090,44381133,12450738,30277787,16.72,74.93
인피니트헬스케어,신규상장,5200,2010-05-26,23470467,45.25,13.42,16.17,6.13,90.85,178.4,175.11,67.69,8.94,2.59,68.9,42816849,5675222,4541717,29993557,8230294,-2267716,22.3,-25.27
투비소프트,신규상장,8000,2010-06-01,2048120,50.71,13.91,25.5,10.6,21.25,311.53,311.53,37.86,24.65,2.44,,15182989,2058522,2143264,9475179,3525186,-684652,24.46,837.45
LX세미콘,신규상장,67000,2010-06-08,6505720,28.21,19.12,53.18,51.08,70.94,455.26,423.65,25.84,,10.54,21.37,189205593,39372151,38500601,92628214,37269472,-74074952,101.8,212.25
엑스큐어,신규상장,5000,2010-06-09,4373900,39.84,10.14,32.71,28.84,6.52,276.6,262.07,55.13,64.59,16.26,24.08,26031124,2703896,2386445,7380627,3512169,-3830052,101.09,275.8
오르비텍,신규상장,8500,2010-06-15,7117336,23.11,15.08,30.56,21.58,52.37,212.58,202.68,52.12,17.54,6.57,111.06,37568520,4607055,3769946,14483561,7432360,1556072,16.1,-7.36
유비벨록스,신규상장,11000,2010-06-18,5410776,25.7,10.89,28.85,197.09,136.98,240.42,179.99,57.48,19.15,4.86,14.75,44966542,4977594,4511771,20958974,6097707,-2938386,36.58,-5.82
지유온,신규상장,13000,2010-06-18,3150000,73.54,46.37,39.95,49.95,52.61,1275.96,1275.96,8.11,14542.17,18.77,,7118353,3716814,3220438,9671768,3366211,-9535608,117.93,131.84
알톤스포츠,신규상장,1000,2010-07-02,20220000,30.41,8.86,17.84,17.71,77.92,98.33,60.75,50.54,7.59,16.28,10.98,29888931,2530340,2169488,17750790,2780651,5483420,0.59,-34.22
에스디시스템,신규상장,14800,2010-07-16,3800000,19.86,10.74,28.93,45.61,42.09,520.5,428.62,22.7,,9.47,18.63,49656248,5691398,5070561,20313739,5506821,-12494581,-16.17,-0.44
크루셜텍,신규상장,23500,2010-07-21,8289547,23.69,11.72,66.76,46.14,31.19,160.45,113.5,151.13,14.49,6.28,8.79,62168375,7703174,7681830,16284513,8638022,9257448,715.1,715.42
웨이포트,신규상장,1400,2010-07-23,55880000,22.1,10.52,58.81,19.08,51.61,104.87,75.17,446.57,7.21,6.32,4.34,107925004,10198426,7915288,18552312,14450979,25468610,,
하이텍팜,신규상장,11500,2010-07-28,7000000,26.62,22.59,53.9,39.68,156.49,233.73,176.11,61.67,42.1,3.92,7.92,51162073,11202646,9310822,21986249,12460643,-4351942,62.43,208.37
인터로조,신규상장,12000,2010-07-28,4814000,74.28,45.55,44.37,32.02,71.6,336.18,260.32,41.74,44.68,5.47,6.91,14092383,6325342,5276558,15038527,7265227,-2614771,56.58,199.79
이글루시큐리티,신규상장,14000,2010-08-04,7500000,65.89,17.43,29.51,26.09,80.61,337.57,337.57,38.48,57.26,2.76,,22894615,4505844,3880594,15089506,4381361,-9399184,26.3,-6.04
엠에스오토텍,신규상장,5500,2010-08-06,8200000,15.06,3.81,18.55,21.18,-52.68,67.75,66.51,137.82,1.08,4.12,162.84,70302209,7694730,6589908,38389340,10534331,26915913,16.34,126.3
코리아에프티,신규상장,4000,2010-08-27,6784000,12.33,0.42,18.96,6.05,806.4,82.02,69.06,272.93,0.28,4.3,13.12,95565003,5676130,4159572,22224524,4074122,28081847,8.83,-97.94
화신정공,신규상장,2000,2010-08-31,12500000,8.11,4.83,16.29,28.9,12.97,125.77,118.71,93.36,29.01,4.97,46.2,69294927,4058878,3568946,26111930,4375126,-12865155,12.64,-20.83
씨젠,신규상장,30500,2010-09-10,6158820,75.45,34.86,231.5,211.54,2057.18,142.64,137,120.62,14.93,3.98,43.58,13142040,4167776,4698374,6643367,5421809,-122767,,
와이솔,신규상장,8000,2010-09-10,10200000,35.71,22.06,43.06,389.36,519.84,192.48,167.37,74.64,20.8,6.42,15.68,34050197,7660941,6230116,17328621,8233910,3643224,,
하이비젼시스템,신규상장,2000,2010-09-10,10210000,50.34,24.3,,,,256.93,206.46,35.35,52.8,,,5846560,1166176,1166176,3774471,1570354,-766387,,
다원시스,신규상장,11000,2010-09-14,6400000,29.31,13.78,30.84,71.51,358.73,181.01,172.81,88.51,7.07,4.24,51.56,28425345,3475823,3319410,12553272,4689987,2428638,18.22,17
알파홀딩스,신규상장,12000,2010-09-17,4016448,17.91,10.35,34.43,52.29,41.96,187.66,179.17,118.01,86.14,10.65,29.9,33435916,4315668,3772297,12841743,3582082,-14551429,10.8,4.84
포메탈,신규상장,6000,2010-09-17,5987340,13.78,6.32,17.8,-14.74,-37.3,157.9,138.82,80.42,11.88,5.79,21.25,41155613,2870043,2469232,15080250,3780434,4584489,30.26,105.95
한일진공,신규상장,2000,2010-10-05,10540000,22.94,5.99,1.52,4.57,192.5,94.64,63.03,165.55,3.01,3.92,6.88,10522783,63616,63616,4221538,1149154,2375241,63.45,139.4
아이씨케이,신규상장,2800,2010-10-19,10937077,19.17,8.83,23.5,34.55,102.71,162.54,92.56,97.83,4.57,12.11,5.16,31498275,2450559,2424351,11530636,3816985,3834083,13.72,-34.56
지나인제약,신규상장,5800,2010-10-22,4650271,15.31,7.63,25.37,95.27,178.37,61.37,43.26,224.62,4.19,11.36,14.78,65341050,4805562,4712160,19091169,9115963,29088073,85.39,228.66
인화정공,신규상장,26000,2010-10-22,4344504,28.87,24.92,18.05,-5.78,5.87,112.49,74.87,83.55,5.02,4.55,6.89,60629072,12618679,10411596,68056886,21504577,39381754,43.09,14.37
누리플랜,신규상장,5500,2010-10-26,4310000,22.08,6.88,24.97,0.42,12.82,106.89,81.85,144.95,6.66,7.35,14.09,47228576,4312080,3508358,15802318,3739339,2923439,37.68,148.01
아이텍,신규상장,9100,2010-10-26,4612500,37.51,26.98,35.97,95.52,418.78,120.68,120.68,84.04,9.22,12.08,743.98,14843839,3624454,3405188,13371940,7434440,7275907,4.4,-49.95
