종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정고가,6달 후 수정고가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간),매출총이익률,영업이익률,순이익률,ROE,ROA,매출액증가율(YoY),영업이익증가율(YoY),순이익증가율(YoY),총자산증가율,유동자산증가율,EBITDA증가율(YoY),EBIT증가율(YoY),부채비율,유동비율,당좌비율,자기자본비율,유동자산구성비율,차입금의존도,EBITDA/이자비용,EBIT/이자비용,이자보상배율,매출채권회전율,재고자산회전율,총자산회전율,자기자본회전율,유형자산회전율,매출원가/재고자산,매출원가율,판관비율,자산총계,유동자산,부채총계,자본총계,이익잉여금,매출액,금융비용,이자비용,Free Cash Flow1,Free Cash Flow2
차이나그레이트,신규상장,KQ,"1,700",2009-05-29,"3,135","2,581","1,949","2,054",15.38,3.89,14.5,1.69,26.06,21.99,5.56,"89,821,399","89,821,399","295,807,831,560","100,000,000",0.816272,"345,000,000,000",16.32,"3,910","13,492","50,304.04","-13,265","-49,461.80",0,0,25.22,15.82,11.06,33,19.74,105.35,96.97,106.25,52.23,52.9,107.08,107.23,47.59,254.9,251.1,67.76,81.41,0,592.16,577.37,566.17,2.95264,125.07757,1.78458,2.984,11.77653,93.53622,74.78,9.4,"197,939,829","161,138,696","63,824,616","134,115,213","80,116,480","292,643,555","81,778","81,778","-8,817,714.47","1,509,238"
위메이드맥스,신규상장,KQ,"55,000",2009-06-03,"41,412","30,738","27,726","19,001",14.94,8.44,13.81,7.77,12.78,18.57,10.42,"1,383,793","1,383,793","65,098,911,900","3,400,000",0.180264,"317,900,000,000",30,"126,500",177,"19,438.30",-145,"-15,564.47",0,0,92.07,47.73,46.66,26.69,24.42,5.04,-15.09,-5.82,151.7,225.08,-16.8,-19.74,4.63,"2,693.96","2,693.96",95.58,86.15,0.01,,,,15.97559,,0.52322,0.57188,3.2721,,7.93,44.33,"94,542,390","81,450,397","4,178,976","90,363,414","43,696,609","34,559,786",195,0,"11,958,163.28","14,100,892"
어보브반도체,신규상장,KQ,"3,300",2009-06-05,"5,980","3,655","3,185","3,670",17.69,4.06,14.77,1.77,46.38,17.38,3.99,"6,478,298","6,478,298","36,864,387,940","10,546,833",0.614241,"63,070,061,340",16.47,"5,980",475,"2,508.17",-458,"-2,417.77",0,0,18.29,6.52,7.84,14.3,9.96,-4.2,-29.42,-25.05,27.66,25.1,-21.12,-26.51,37.83,405.32,296.85,72.55,75.11,13.7,13.18,8.09,8.81,6.27283,5.0483,1.27045,1.82403,103.85219,4.12479,81.71,11.77,"30,625,336","23,003,309","8,405,554","22,219,782","10,847,211","34,693,069","256,835","256,835","2,268,665.01","4,244,699"
동일금속,신규상장,KQ,"8,000",2009-07-28,"8,865","8,017","6,236","6,275",2.36,1.85,4.27,0.36,2.17,6.15,2.63,"9,190,706","9,190,706","78,404,579,450","7,000,000",1.012072,"80,500,000,000",13.95,"11,500","1,069","11,350.22",-970,"-10,230.92",0,0,27.83,22.82,13.21,15.06,10.64,-43.83,-24.02,-50.79,29.75,-4.27,-54.19,-58.67,24.49,275.28,237.1,80.33,37.5,5.89,49.03,40.37,69.2,8.82521,9.99548,0.80542,1.14022,3.58714,7.21329,72.17,5.02,"68,380,400","25,645,286","13,452,341","54,928,059","25,467,601","48,761,729","332,248","160,796","9,111,171.46","4,229,664"
게임빌,신규상장,KQ,"15,000",2009-07-30,"16,850","14,600","18,950","30,150",14.57,5.4,11.38,5,11.59,17.5,6.39,"2,609,970","2,609,970","45,712,002,500","5,484,780",0.475857,"92,418,543,000",19.06,"20,400",773,"13,844.06",-750,"-13,408.55",0,0,85.7,55.77,48.47,44.59,37.38,58.69,118.12,124.01,137.62,175.99,95.29,113.88,15.44,"1,006.88","1,006.88",86.63,89.66,3.71,192.3,182.29,183.3,7.4278,,0.77122,0.91992,7.45693,,14.3,29.93,"44,539,216","39,934,115","5,956,213","38,583,003","21,203,916","24,402,661","74,243","74,243","11,971,966.95","13,576,306"
에스앤더블류,신규상장,KQ,"6,700",2009-08-05,"8,500","6,380","4,740","5,220",22.45,1.88,11.74,0.82,35.8,25.26,2.12,"6,517,736","6,517,736","66,339,763,630","7,200,000",0.905241,"61,200,000,000",30,"11,500",922,"9,655.65",-880,"-9,226.58",0,0,16.23,9.73,8.68,16.6,8.23,-0.92,-28.37,134.79,-1.14,5.94,48.46,92.2,73.39,115.5,47.77,57.67,44.67,30.76,10.11,6.82,5.49,7.46502,3.28666,0.94771,1.91168,1.81723,2.75319,83.77,6.5,"68,746,403","30,708,007","29,097,321","39,649,082","23,699,645","65,527,107","1,205,601","1,160,967","6,496,343.34","4,705,269"
동국S&C,신규상장,KQ,"11,000",2009-08-31,"9,910","10,700","9,770","10,200",59.06,7.88,47.73,0.97,47.97,106.2,11.26,"14,091,713","14,091,713","137,239,905,010","57,143,000",0.246604,"566,287,130,000",21.52,"10,450","4,634","44,747.37","-4,330","-41,759.27",0,0,26.43,14.72,5,7.35,3.54,-29.67,-41.16,113.5,20.01,20.59,62.87,79.51,35.11,287.06,211.13,74.02,70.42,3.31,8.42,6.95,13.62,9.2306,2.2584,0.70935,1.47165,4.19521,1.66158,73.57,11.71,"350,457,970","246,780,617","91,066,270","259,391,700","38,344,429","227,875,089","13,612,707","2,463,035","-4,443,685.48","979,135"
제넥신,신규상장,KQ,"27,000",2009-09-15,"13,550","9,350","8,600","7,400",-152.52,11.66,"24,009.63",60.24,82.31,-206.38,15.35,"3,151,216","3,151,216","45,553,125,800","4,022,870",0.391663,"109,019,777,000",20.26,"31,800",391,"11,468.20",-303,"-8,990.16",0,0,87.72,-46.04,-46.16,-2.17,-1.72,-20.05,-60.27,6.56,190.75,732.14,"-4,918.11",-104.4,11.12,"16,284.24","16,284.24",89.99,65.44,5.67,-0.57,-1.08,-1.22,3.16925,,0.03719,0.04689,0.22229,,12.28,133.76,"42,782,139","27,995,209","4,282,617","38,499,522","-890,368","1,069,246","404,979","404,979","-4,325,435.12","-994,796"
톱텍,신규상장,KQ,"10,400",2009-09-15,"3,444","3,534","4,050","3,870",11.04,4.34,14.16,0.83,3.68,18.61,6.53,"30,939,093","30,939,093","97,697,589,250","5,600,000",1.239502,"85,960,000,000",21.26,"15,350",815,"11,412.99",-683,"-9,577.39",0,0,18.11,10.62,9.63,26.09,13.02,17.43,85.93,50.21,119.64,123.92,66.66,66.31,83,192.89,189.28,54.65,71.29,9.48,35.61,33.81,32.14,6.60607,25.74111,1.35221,2.70984,5.65558,21.07996,81.89,7.49,"73,273,140","52,239,348","33,232,276","40,040,864","16,109,197","72,095,331","238,217","238,217","-11,355,466.67","-9,889,357"
디에스케이,신규상장,KQ,"5,000",2009-09-23,"5,750","2,870","3,775","3,145",18.46,4.8,21.26,2.94,20.21,24.62,6.4,"4,659,780","4,659,780","25,722,824,100","6,000,000",0.388315,"69,000,000,000",13.95,"11,500",836,"9,329.07",-575,"-6,336.71",0,0,20.61,11.04,11.5,14.16,8.92,7.91,-16.64,-22.04,61.56,82.43,-20.61,-24.54,50.63,315.24,205.24,66.39,81.51,6.47,28.2,24.66,24.54,13.25857,2.84063,0.77612,1.23138,4.67955,2.25522,79.39,9.57,"30,253,033","24,658,000","10,168,264","20,084,769","9,974,314","19,006,582","94,066","85,506","927,386.91","1,430,454"
