종목명,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA,시장수익률,광의통화 증감률,고객예탁금 증감률,3개월 시장 회전율,공모가 대비 1개월 수익률,공모가 대비 3개월 수익률,공모가 대비 6개월 수익률
동운아나텍,0.374616975,0.123124882,0.284568511,2.325982248,1.341281495,0.630173582,16.26014753,6.394100149,4.370992828,-0.044180303,-0.255887305,9.703556944,2.76132675,8.335319483,0.324600603,0.074392399,0.469831268,173.4975882,0.25,0.155,0.07
유테크,0.189132749,0.129667418,0.177734348,1.557181873,1.452835628,1.714650596,4.194562763,3.104848851,35.57022117,0.117695874,0.880316461,10.5713207,1.878886793,3.547709517,0.324600603,0.074392399,0.469831268,173.4975882,0.611111111,0.233333333,0.544444444
민앤지,1.0,0.34077683,0.483708979,7.859622575,7.859622047,0.674786734,21.94539546,6.107629564,,,,30.11558438,14.56717858,25.29261917,0.324600603,0.074392399,0.469831268,173.4975882,0.169642857,0.398214286,0.171428571
RFHIC,0.424334205,0.235964115,0.141538521,4.300147038,1.8128069,0.341409694,57.00487302,28.01675278,1.158623429,-0.168158091,-0.287215059,1.038933382,0.147049094,0.796553829,0.324600603,0.074392399,0.469831268,173.4975882,0.1925,0.135,0.0375
펩트론,0.457388912,-1.050622662,-0.424208269,6.724072951,6.545618549,0.612009998,-4.420443187,22.85557048,16.95255258,-0.199758207,0.789260276,-26.74473867,11.34533929,-40.11553876,0.300355796,0.083708504,0.45465241,160.0086563,2.125,1.66875,3.0875
디와이디대양,0.488647059,0.148681242,0.336278122,5.234981193,4.291019813,0.221101214,inf,9.702416323,14.72202289,,,5.223274417,1.756472914,4.130308348,0.300355796,0.083708504,0.45465241,160.0086563,0.0925,0.05,0.0
파마리서치,0.735317204,0.460910574,0.356821598,1.790408856,1.583520364,0.792040913,24.55991557,3.959081348,11.27132599,0.373933913,0.605700203,54.85543851,19.57360521,39.81525043,0.334036128,0.083708504,0.348145077,159.8263472,0.158181818,0.290909091,0.381818182
켐트로스,0.098731195,0.050055872,0.055919453,3.260151755,2.345258937,0.715645206,2.684133664,3.656207516,6.979815695,-0.04608644,-0.421881608,10.72309905,0.599629838,3.887123642,0.333558406,0.083708504,0.468787233,159.1945676,0.735,0.245,0.01
로지시스,0.10889373,0.059776459,0.15136931,3.505799278,3.471372482,0.44795469,inf,7.338572137,262.7516244,0.001562344,0.038659109,13.37998678,2.02531937,10.29146439,0.352921634,0.083708504,0.417162155,159.1650372,0.924,1.388,0.8
아이쓰리시스템,0.219785068,0.150693379,0.240737555,2.095527773,0.987668163,1.112689989,5.635365218,12.11306537,2.864784394,0.19842048,0.743409065,22.7083386,5.466749916,14.88440798,0.369982097,0.090120504,0.38050605,159.1372546,0.322222222,0.977777778,0.788888889
아시아경제,0.409548349,0.121047586,0.20572263,2.939717507,2.790864181,0.666300248,18.17985673,5.983225331,38.60405738,1.427186061,1.374467442,15.14517105,3.115704413,8.305612266,0.384005817,0.082239989,0.384865162,159.209042,0.029166667,-0.106944444,-0.276388889
칩스앤미디어,1.0,0.187794742,0.160908229,4.303465625,4.303465628,0.241431385,19.14318315,2.571992463,,0.079211794,0.594645991,14.16771745,2.279702326,14.02570882,0.404399817,0.082239989,0.330487266,161.2640716,-0.286666667,-0.175238095,-0.53047619
쎄노텍,0.306983367,0.145205451,0.149727625,2.931533818,1.389686587,0.560520366,10.76485977,4.216681769,2.900032902,0.122577903,1.155654761,2.012322733,0.301300303,1.103867657,0.371205076,0.082239989,0.396242775,161.8642022,0.125,0.05,0.12
흥국에프엔비,0.431461997,0.227200325,0.250017471,1.55473397,0.700921131,0.678943501,15.22832944,10.47202537,4.274051299,0.157906198,0.188891165,21.95724055,5.489693762,13.51177239,0.333625779,0.082239989,0.359146757,162.4318842,1.01,0.69,0.5175
마이더스AI,0.358970178,0.091749713,0.106354924,1.675163988,1.651695984,0.800659755,13.19652171,3.479267987,115.621685,-0.035364957,-0.059489719,6.210346437,0.660500926,2.871400859,0.358381817,0.082239989,0.42881774,164.3196574,0.095,0.085,-0.015
파인텍,0.129269912,0.044280472,0.296473109,0.855631281,0.662166582,4.541914634,2.823370714,6.262373205,14.56781278,0.397704152,0.154941675,8.993533656,2.666340888,3.685793072,0.385269985,0.082239989,0.572766062,164.7239575,-0.119047619,-0.218095238,-0.38
웹스,0.325843801,0.152955219,0.162437653,2.180521323,1.417698349,0.782517392,7.157123866,8.135662806,4.54258225,-0.006606721,0.286286881,13.53228496,2.198152604,7.580548124,0.370636532,0.082239989,0.394025883,164.0956563,-0.031944444,-0.190277778,-0.219444444
맘스터치,0.273224351,0.084938681,0.694854003,1.233869606,0.674136722,2.40689425,371.6205605,26.34124293,15.43188631,0.625635591,1.968001527,2.51149801,1.745124445,1.921535942,0.306888328,0.082239989,0.456117323,163.6216079,0.05,0.005,0.005
씨아이에스,0.183632331,-0.106426389,-0.025510023,3.221751952,2.388756691,0.315686984,-27.33433815,33.86297006,2.147890508,-0.467697365,-3.428379822,-22.80891829,0.581856025,-15.34894336,0.274853184,0.083047344,0.352929695,163.3442247,0.0525,0.005,0.0
인포마크,0.222584653,0.058525658,0.234556309,1.28143702,0.515923045,1.576924629,4.512529095,10.09899134,4.564019345,0.153979411,0.161368752,14.47254911,3.394627701,9.203127225,0.089460699,0.083047344,0.416451504,160.9342098,0.535714286,-0.071428571,0.378571429
제너셈,0.36771026,0.174198699,0.460038649,1.276939049,0.980573716,1.297407998,17.34211568,4.23745231,10.92239607,0.787913805,6.996030518,9.155880004,4.21205867,7.88411753,0.117666413,0.083047344,0.512481595,160.255994,-0.141904762,-0.466666667,-0.493333333
타이거일렉,0.209782967,0.135048993,0.142715675,2.128004424,1.584680053,0.721294427,9.658131694,4.934369668,7.136595896,0.187323824,0.779525204,12.0969524,1.726424732,6.497070487,0.117666413,0.083047344,0.512481595,160.255994,-0.011666667,-0.153333333,-0.204166667
