종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정주가,6달 후 수정주가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간)
동방선기,신규상장,KQ,"4,000",2009-11-10,"2,847","2,806","2,707","2,847",2.17,0.59,3.39,0.29,6.55,3.21,0.85,"2,666,843","2,666,843","8,308,350,255","6,000,000",0.366847,"20,700,000,000",16.37,615,504,"1,931.61",-487,"-1,864.56",0,0
에이프로젠 H&G,신규상장,KQ,"10,000",2009-11-13,"1,123",787,"1,102","1,191",4.79,3.21,4.96,0.81,6.91,5.98,4.01,"3,617,822","3,617,822","3,838,820,150","1,875,000",0.164177,"24,750,000,000",13.77,"1,700",150,"1,836.24",-136,"-1,668.61",0,0
강원,신규상장,KQ,"4,700",2009-11-20,"2,875","2,625","4,440","3,250",8.87,2.37,9.97,0.42,-8.1,13.06,3.48,"11,351,644","11,351,644","31,305,828,380","5,300,000",1.07091,"30,475,000,000",17.8,940,826,"4,523.36",-736,"-4,042.64",0,0
이원컴포텍,신규상장,KQ,"2,000",2009-12-01,"2,473","1,342","2,003","1,223",14.33,2.22,9.01,0.78,20.78,20.19,3.13,"2,484,149","2,484,149","6,139,670,200","5,000,000",0.267148,"23,000,000,000",13.95,600,172,793.2,-172,-792.64,0,0
에스앤씨엔진그룹,신규상장,KQ,"6,000",2009-12-04,"3,285","3,063","3,090","2,635",1.18,2.78,8.39,0.23,1.48,12.05,3.71,"15,307,985","15,307,985","55,181,917,470","40,000,000",0.173893,"289,200,000,000",21.81,"1,770","2,258","18,200.40","-2,275","-18,344.58",0,0
셀바스AI,신규상장,KQ,"9,000",2009-12-10,"3,933","6,949","7,399","5,627",30.51,7.19,35.04,2.99,27.25,39.81,9.38,"8,785,177","8,785,177","33,257,103,600","3,577,166",0.763547,"45,251,149,900",15.32,"1,800",121,"1,433.74",-38,-419.17,0,0
멜파스,신규상장,KQ,"43,200",2009-12-18,"17,245","26,918","26,584","18,012",72.47,10.96,94.48,5.93,-114.9,93.23,14.1,"5,831,759","5,831,759","91,460,014,950","5,149,001",0.377785,"266,203,351,700",17.23,"8,200",280,"12,628.70",-110,"-4,840.34",0,0
위메이드,신규상장,KQ,"62,000",2009-12-18,"12,806","16,064","12,225","11,682",10.71,3.61,9.15,3.57,10.24,14.72,4.81,"4,194,016","4,194,016","57,209,361,250","7,140,000",0.148366,"361,998,000,000",19.82,"10,800",251,"13,675.19",-251,"-13,629.05",0,0
ITX-AI,신규상장,KQ,"6,000",2009-12-22,"5,971","3,993","3,480","3,133",9.71,3.69,10.39,0.92,12.1,11.05,4.2,"3,670,074","3,670,074","21,250,273,200","5,733,000",0.449203,"48,787,830,000",14.36,"1,140",449,"3,677.80",-426,"-3,487.26",0,0
디와이피엔에프,신규상장,KQ,"12,000",2009-12-22,"8,795","7,639","6,391","4,888",2.21,3.17,15.31,0.26,2.68,21.67,10.27,"5,706,070","5,706,070","53,463,809,500","6,500,000",0.534321,"93,925,000,000",18.52,"2,950",568,"8,926.95",-478,"-7,479.42",0,0
